university,program,decision,term,citizenship,gpa_raw,gre_total,gre_q,gre_v,gre_aw
University of Michigan,Computer Science And Engineering (CSE) Masters,Accepted,F15,American,3.80,167.0,,156.0,4.0
CMU - INI (MSIN Degree),Computer Science Masters,Accepted,F19,International,,,,,
Rice University,Computer Science Masters,Accepted,F18,International,3.59,164.0,,159.0,3.5
Ohio State University,Computer Science And Engineering (CSE) Masters,Accepted,F18,American,,,,,
University of Pennsylvania,Computer Science Masters,Accepted,F15,International,,166.0,,166.0,4.5
Arizona State University,Computer Science (MCS) Masters,Accepted,F16,International,3.28,167.0,,141.0,3.5
University of Southern California,Computer Science (Scientists & Engineers) Masters,Accepted,S18,American,3.33,170.0,,169.0,5.0
Virginia Polytechnic Institute and State University,Computer Science Masters,Accepted,F16,International,3.60,160.0,,151.0,4.0
Carnegie Mellon University,Computer Science Masters,Accepted,F20,American,,,,,
University of Alberta,Computer Science Masters,Accepted,F20,International,3.74,,,,
Carnegie Mellon University,Computer Science Masters,Accepted,F20,International,3.86,168.0,,153.0,3.5
University of Waterloo,Computer Science Masters,Accepted,F17,International,3.57,167.0,,159.0,4.0
Stony Brook University,Computer Science Masters,Accepted,F19,International,8.50,168.0,,159.0,4.0
Carnegie Mellon University,Computer Science Machine Learning Masters,Accepted,F16,International,,,,,
Stony Brook University,Computer Science Masters,Accepted,F19,American,8.48,170.0,,158.0,4.0
"University of California, Irvine",Computer Science Masters,Accepted,F16,International,,,,,
University of Illinois Urbana-Champaign,"Computer Science( MCS), Masters (F17) Masters",Accepted,F17,American,3.80,,,,
Columbia College,Computer Science Masters,Accepted,F19,,3.65,168.0,,163.0,5.0
University of California,Computer Science Masters,Accepted,F15,International,3.40,,,,
Western Michigan University,Computer Science Masters,Accepted,F19,International,,,,,
Cornell University,Computer Science Masters,Accepted,F19,American,3.42,161.0,,167.0,4.5
"University of California, Irvine",Computer Science Masters,Accepted,F17,International,,,,,
Carnegie Mellon University,Computer Science LTI Masters,Accepted,F17,International,4.00,,,,
Carnegie Mellon University,Computer Science - Robotics Masters,Accepted,F17,International,,,,,
Virginia Polytechnic Institute and State University,Computer Science Masters,Accepted,F17,International,,,,,
University of Virginia,Computer Science Masters,Accepted,F19,,,,,,
Utah State University,Computer Science Masters,Accepted,F15,International,3.50,163.0,,156.0,3.0
Vanderbilt University,Computer Science Masters,Accepted,F17,American,,,,,
"University of California, Irvine",Computer Science Masters,Accepted,F18,International,3.46,170.0,,154.0,3.5
ETH Zurich,Computer Science Masters,Accepted,F19,International,,,,,
University of California (UCSB),Computer Science Masters,Accepted,F17,International,9.36,165.0,,162.0,3.5
Columbia College,Computer Science Masters,Accepted,F15,International,3.80,170.0,,155.0,3.5
University of Cincinnati,Computer Science Masters,Accepted,F17,International,3.52,162.0,,148.0,3.0
George Mason University,Computer Science Masters,Accepted,F15,International,3.30,160.0,,143.0,3.0
University of California,Computer Science Masters,Accepted,F19,International,3.73,170.0,,165.0,4.0
University of Houston,Computer Science Masters,Accepted,F18,American,3.95,157.0,,157.0,3.5
University of Waterloo,Computer Science Masters,Accepted,F15,International,3.43,165.0,,166.0,4.5
University of Southern California,Computer Science Masters,Accepted,Spring 2020,International,,,,,
Carnegie Mellon University,Computer Science (Robotics Masters,Accepted,F17,International,,,,,
University Of Winsconsin - Madison,Computer Science Masters,Accepted,F19,International,,,,,
The University of British Columbia,Computer Science Masters,Accepted,F16,International,,,,,
North Carolina State University,Computer Science Masters,Accepted,F15,International,,167.0,,163.0,4.5
Stony Brook University,Computer Science Masters,Accepted,F16,International,3.61,170.0,,145.0,3.5
University of Virginia,Computer Science Masters,Accepted,F19,International,,168.0,,154.0,4.0
Stony Brook University,Computer Science Masters,Accepted,F17,International,3.50,170.0,,156.0,4.0
Texas A&M University,Computer Science Masters,Accepted,F15,International,3.97,168.0,,150.0,4.5
NYU GSAS,Computer Science Masters,Accepted,F15,American,,,,,
"University of California, Irvine",Computer Science Masters,Accepted,F17,American,3.53,161.0,,156.0,4.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.30,170.0,,160.0,3.0
University of Southern California,Computer Science (Scientists And Engineers) Masters,Accepted,F18,International,3.50,150.0,,169.0,3.0
University of Alberta,Computer Science Masters,Accepted,F19,International,,,,,
University of Pennsylvania,Computer Science Masters,Accepted,F17,International,,165.0,,156.0,4.0
University of Houston,Computer Science Masters,Accepted,F18,American,,,,,
University of Toronto,Computer Science Masters,Accepted,F18,,2.97,,,,
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,,167.0,,155.0,4.5
Carnegie Mellon University,Computer Science Masters,Accepted,F20,International,,,,,
Carnegie Mellon University,Computer Science Masters,Accepted,F20,International,3.83,169.0,,153.0,3.5
Columbia College,Computer Science Masters,Accepted,F15,International,3.88,162.0,,168.0,3.5
University of Oxford,Computer Science Masters,Accepted,F17,International,,,,,
University of Wisconsin,Computer Science Masters,Accepted,F15,American,3.60,159.0,,159.0,4.0
University of Illinois Chicago (UIC),Computer Science Masters,Accepted,F19,International,8.32,168.0,,162.0,5.0
Ithaca College,Computer Science MEng Masters,Accepted,F18,International,,163.0,,163.0,4.5
USC Viterbi School Of Engineering,Computer Science (Game Development) Masters,Accepted,F18,International,,162.0,,160.0,5.0
"University Of Maryland, College Park (UMD)",Computer Science Masters,Accepted,F19,American,,,,,
Texas A&M University-San Antonio,Computer Science Masters,Accepted,F15,International,,,,,
University of California,Computer Science Masters,Accepted,F15,American,3.21,164.0,,167.0,4.5
North Carolina State University,Computer Science Masters,Accepted,F19,International,3.20,160.0,,149.0,4.0
University of Wisconsin,Computer Science Masters,Accepted,F17,International,4.00,170.0,,160.0,4.0
University of Toronto,Computer Science Masters,Accepted,F16,International,,,,,
Princeton University,Computer Science Masters,Accepted,F18,International,3.72,163.0,,168.0,4.5
Boston University,Computer Science Masters,Accepted,F19,International,3.77,170.0,,159.0,3.5
Carnegie Mellon University,Computer Science Masters,Accepted,F16,International,,170.0,,157.0,4.0
Illinois State University,Computer Scienceer Masters,Accepted,F19,International,3.88,170.0,,153.0,4.0
University of Texas,Computer Science Masters,Accepted,F20,American,,164.0,,167.0,4.5
"University of California, Irvine",Computer Science Masters,Accepted,F15,International,,,,,
Stony Brook University,Computer Science Masters,Accepted,F15,International,,168.0,,153.0,4.0
Arizona State University,Computer Science Masters,Accepted,F15,International,,,,,
University of Alberta,Computer Science Masters,Accepted,F19,International,3.91,166.0,,151.0,5.0
Boston University,Computer Science Masters,Accepted,F15,International,,163.0,,164.0,4.0
University of Wisconsin,Computer Science (PMP) Masters,Accepted,F18,International,,,,,
Amherst College,Computer Science Masters,Accepted,F19,International,,,,,
University of Edinburgh,Computer Science Masters,Accepted,F19,International,3.51,,,,
University of Waterloo,Computer Science-MMath Masters,Accepted,F15,,,167.0,,163.0,4.0
University of Sheffield,Computer Science With Speech And Language Processing Masters,Accepted,F19,International,,,,,
McGill University,Computer Science Masters,Accepted,F17,,,,,,
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science Masters,Accepted,F17,American,3.87,159.0,,170.0,4.5
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.88,170.0,,153.0,4.0
The University of British Columbia,Computer Science Masters,Accepted,F20,International,,,,,
"Technical University Munic, TUM",Computer Science Masters,Accepted,F17,International,,,,,
University of Michigan,Computer Science And Engineering (CSE) Masters,Accepted,F16,American,3.30,169.0,,165.0,4.5
University of Pennsylvania,Computer Science Masters,Accepted,F17,American,,,,,
IIT,Computer Science Masters,Accepted,F16,International,,,,,
The University of British Columbia,Computer Science Masters,Accepted,F17,International,,,,,
McGill University,Computer Science (Thesis) Masters,Accepted,F17,International,,,,,
Georgia Institute of Technology,Computer Science Masters,Accepted,F19,American,3.42,,,,
University of Southern California,Computer Science Masters,Accepted,F19,International,,,,,
Carnegie Mellon University,Computer Science Robotics Institute Masters,Accepted,F16,International,,,,,
Illinois State University,Computer Science Masters,Accepted,F19,International,,,,,
Stanford University,Computer Science Masters,Accepted,F15,International,3.80,176.0,,156.0,4.0
Carnegie Mellon University,Computer Science Information Security Masters,Accepted,F16,International,,,,,
Columbia University,Computer Science Software Systems Masters,Accepted,F16,International,3.90,165.0,,161.0,3.5
University of Illinois Urbana-Champaign,"Computer Science (Professional Master, MCS) Masters",Accepted,F18,International,3.85,169.0,,158.0,4.0
Johns Hopkins University,Computer Science Masters,Accepted,F15,International,,,,,
San Jose State University (SJSU),Computer Science Masters,Accepted,F19,American,3.75,162.0,,168.0,4.5
University of California-Riverside,Computer Science Masters,Accepted,F17,International,,,,,
