university,program,decision,term,citizenship,gpa_raw,gre_total,institution_clean
University of Michigan,Computer Science And Engineering (CSE) Masters,Accepted,F15,American,3.8,167.0,university of michigan
Rice University,Computer Science Masters,Accepted,F18,International,3.59,164.0,rice university
Arizona State University,Computer Science (MCS) Masters,Accepted,F16,International,3.28,167.0,arizona state university
University of Southern California,Computer Science (Scientists & Engineers) Masters,Accepted,S18,American,3.33,170.0,university of southern california
Virginia Polytechnic Institute and State University,Computer Science Masters,Accepted,F16,International,3.6,160.0,virginia polytechnic institute and state university
Carnegie Mellon University,Computer Science Masters,Accepted,F20,International,3.86,168.0,carnegie mellon university
University of Waterloo,Computer Science Masters,Accepted,F17,International,3.57,167.0,university of waterloo
Cornell University,Computer Science Masters,Accepted,F19,American,3.42,161.0,cornell university
Utah State University,Computer Science Masters,Accepted,F15,International,3.5,163.0,utah state university
"University of California, Irvine",Computer Science Masters,Accepted,F18,International,3.46,170.0,university of california irvine
Columbia College,Computer Science Masters,Accepted,F15,International,3.8,170.0,columbia college
University of Cincinnati,Computer Science Masters,Accepted,F17,International,3.52,162.0,university of cincinnati
George Mason University,Computer Science Masters,Accepted,F15,International,3.3,160.0,george mason university
University of California,Computer Science Masters,Accepted,F19,International,3.73,170.0,university of california
University of Houston,Computer Science Masters,Accepted,F18,American,3.95,157.0,university of houston
University of Waterloo,Computer Science Masters,Accepted,F15,International,3.43,165.0,university of waterloo
Stony Brook University,Computer Science Masters,Accepted,F16,International,3.61,170.0,stony brook university
Stony Brook University,Computer Science Masters,Accepted,F17,International,3.5,170.0,stony brook university
Texas A&M University,Computer Science Masters,Accepted,F15,International,3.97,168.0,texas am university
"University of California, Irvine",Computer Science Masters,Accepted,F17,American,3.53,161.0,university of california irvine
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.3,170.0,georgia institute of technology
University of Southern California,Computer Science (Scientists And Engineers) Masters,Accepted,F18,International,3.5,150.0,university of southern california
Carnegie Mellon University,Computer Science Masters,Accepted,F20,International,3.83,169.0,carnegie mellon university
Columbia College,Computer Science Masters,Accepted,F15,International,3.88,162.0,columbia college
University of Wisconsin,Computer Science Masters,Accepted,F15,American,3.6,159.0,university of wisconsin
University of California,Computer Science Masters,Accepted,F15,American,3.21,164.0,university of california
North Carolina State University,Computer Science Masters,Accepted,F19,International,3.2,160.0,north carolina state university
University of Wisconsin,Computer Science Masters,Accepted,F17,International,4.0,170.0,university of wisconsin
Princeton University,Computer Science Masters,Accepted,F18,International,3.72,163.0,princeton university
Boston University,Computer Science Masters,Accepted,F19,International,3.77,170.0,boston university
Illinois State University,Computer Scienceer Masters,Accepted,F19,International,3.88,170.0,illinois state university
University of Alberta,Computer Science Masters,Accepted,F19,International,3.91,166.0,university of alberta
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science Masters,Accepted,F17,American,3.87,159.0,university of southern california usc viterbi school of engineering
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.88,170.0,carnegie mellon university
University of Michigan,Computer Science And Engineering (CSE) Masters,Accepted,F16,American,3.3,169.0,university of michigan
Stanford University,Computer Science Masters,Accepted,F15,International,3.8,176.0,stanford university
Columbia University,Computer Science Software Systems Masters,Accepted,F16,International,3.9,165.0,columbia university
