university,program,decision,term,citizenship,gpa_raw,gre_total,gre_q,gre_v,gre_aw
University of Michigan,Computer Science And Engineering (CSE) Masters,Accepted,F15,American,3.8,167.0,,156.0,4.0
Rice University,Computer Science Masters,Accepted,F18,International,3.59,164.0,,159.0,3.5
Arizona State University,Computer Science (MCS) Masters,Accepted,F16,International,3.28,167.0,,141.0,3.5
University of Southern California,Computer Science (Scientists & Engineers) Masters,Accepted,S18,American,3.33,170.0,,169.0,5.0
Virginia Polytechnic Institute and State University,Computer Science Masters,Accepted,F16,International,3.6,160.0,,151.0,4.0
University of Alberta,Computer Science Masters,Accepted,F20,International,3.74,,,,
Carnegie Mellon University,Computer Science Masters,Accepted,F20,International,3.86,168.0,,153.0,3.5
University of Waterloo,Computer Science Masters,Accepted,F17,International,3.57,167.0,,159.0,4.0
Stony Brook University,Computer Science Masters,Accepted,F19,International,8.5,168.0,,159.0,4.0
Stony Brook University,Computer Science Masters,Accepted,F19,American,8.48,170.0,,158.0,4.0
University of Illinois Urbana-Champaign,"Computer Science( MCS), Masters (F17) Masters",Accepted,F17,American,3.8,,,,
University of California,Computer Science Masters,Accepted,F15,International,3.4,,,,
Cornell University,Computer Science Masters,Accepted,F19,American,3.42,161.0,,167.0,4.5
Carnegie Mellon University,Computer Science LTI Masters,Accepted,F17,International,4.0,,,,
Utah State University,Computer Science Masters,Accepted,F15,International,3.5,163.0,,156.0,3.0
"University of California, Irvine",Computer Science Masters,Accepted,F18,International,3.46,170.0,,154.0,3.5
University of California (UCSB),Computer Science Masters,Accepted,F17,International,9.36,165.0,,162.0,3.5
Columbia College,Computer Science Masters,Accepted,F15,International,3.8,170.0,,155.0,3.5
University of Cincinnati,Computer Science Masters,Accepted,F17,International,3.52,162.0,,148.0,3.0
George Mason University,Computer Science Masters,Accepted,F15,International,3.3,160.0,,143.0,3.0
University of California,Computer Science Masters,Accepted,F19,International,3.73,170.0,,165.0,4.0
University of Houston,Computer Science Masters,Accepted,F18,American,3.95,157.0,,157.0,3.5
University of Waterloo,Computer Science Masters,Accepted,F15,International,3.43,165.0,,166.0,4.5
Stony Brook University,Computer Science Masters,Accepted,F16,International,3.61,170.0,,145.0,3.5
Stony Brook University,Computer Science Masters,Accepted,F17,International,3.5,170.0,,156.0,4.0
Texas A&M University,Computer Science Masters,Accepted,F15,International,3.97,168.0,,150.0,4.5
"University of California, Irvine",Computer Science Masters,Accepted,F17,American,3.53,161.0,,156.0,4.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.3,170.0,,160.0,3.0
University of Southern California,Computer Science (Scientists And Engineers) Masters,Accepted,F18,International,3.5,150.0,,169.0,3.0
Carnegie Mellon University,Computer Science Masters,Accepted,F20,International,3.83,169.0,,153.0,3.5
Columbia College,Computer Science Masters,Accepted,F15,International,3.88,162.0,,168.0,3.5
University of Wisconsin,Computer Science Masters,Accepted,F15,American,3.6,159.0,,159.0,4.0
University of Illinois Chicago (UIC),Computer Science Masters,Accepted,F19,International,8.32,168.0,,162.0,5.0
University of California,Computer Science Masters,Accepted,F15,American,3.21,164.0,,167.0,4.5
North Carolina State University,Computer Science Masters,Accepted,F19,International,3.2,160.0,,149.0,4.0
University of Wisconsin,Computer Science Masters,Accepted,F17,International,4.0,170.0,,160.0,4.0
Princeton University,Computer Science Masters,Accepted,F18,International,3.72,163.0,,168.0,4.5
Boston University,Computer Science Masters,Accepted,F19,International,3.77,170.0,,159.0,3.5
Illinois State University,Computer Scienceer Masters,Accepted,F19,International,3.88,170.0,,153.0,4.0
University of Alberta,Computer Science Masters,Accepted,F19,International,3.91,166.0,,151.0,5.0
University of Edinburgh,Computer Science Masters,Accepted,F19,International,3.51,,,,
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science Masters,Accepted,F17,American,3.87,159.0,,170.0,4.5
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.88,170.0,,153.0,4.0
University of Michigan,Computer Science And Engineering (CSE) Masters,Accepted,F16,American,3.3,169.0,,165.0,4.5
Georgia Institute of Technology,Computer Science Masters,Accepted,F19,American,3.42,,,,
Stanford University,Computer Science Masters,Accepted,F15,International,3.8,176.0,,156.0,4.0
Columbia University,Computer Science Software Systems Masters,Accepted,F16,International,3.9,165.0,,161.0,3.5
University of Illinois Urbana-Champaign,"Computer Science (Professional Master, MCS) Masters",Accepted,F18,International,3.85,169.0,,158.0,4.0
San Jose State University (SJSU),Computer Science Masters,Accepted,F19,American,3.75,162.0,,168.0,4.5
University of Southern California,Computer Science Masters,Accepted,F16,International,3.85,164.0,,163.0,4.5
Simon Fraser University,Computer Science Masters,Accepted,F18,International,3.6,168.0,,153.0,3.5
Park University,Computer Science Masters,Accepted,F15,International,3.75,167.0,,152.0,3.0
Clemson University,Computer Science Masters,Accepted,F15,International,3.5,170.0,,153.0,3.0
University of San Diego,Computer Science Masters,Accepted,F20,International,3.95,167.0,,164.0,4.5
University of Wisconsin,Computer Science Masters,Accepted,F15,International,3.6,160.0,,162.0,4.0
University of Massachusetts Amherst,Computer Science Masters,Accepted,F18,International,3.2,170.0,,161.0,4.0
University of Southern California,Computer Science Masters,Accepted,F15,International,3.7,168.0,,151.0,3.5
University of Waterloo,Computer Science Masters,Accepted,F17,International,8.9,167.0,,155.0,4.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F18,International,3.87,160.0,,164.0,4.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F18,American,3.6,167.0,,168.0,5.0
Stony Brook University,Computer Science Masters,Accepted,F19,International,3.8,164.0,,154.0,3.5
Concordia College,Computer Science Masters,Accepted,F19,International,3.9,170.0,,155.0,4.0
Columbia College,Computer Science Masters,Accepted,Spring 2019,International,4.0,159.0,,155.0,4.5
DePaul University,Computer Science Masters,Accepted,F16,International,3.7,165.0,,160.0,4.5
University of Illinois Urbana-Champaign,Computer Science Masters,Accepted,F18,International,4.0,168.0,,158.0,3.0
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.88,170.0,,153.0,4.0
Utah State University,"Computer Science, Masters (F15) Masters",Accepted,F15,International,3.39,170.0,,160.0,4.5
University of Southern California,Computer Science Masters,Accepted,F19,International,3.8,164.0,,155.0,4.0
New York University,Computer Science Masters,Accepted,F19,International,3.63,161.0,,162.0,4.0
University of Southern California,Computer Science Masters,Accepted,F19,International,3.54,168.0,,160.0,4.5
New York University,Computer Science Masters,Accepted,F18,American,3.4,163.0,,163.0,4.0
IIT Chicago,Computer Science Masters,Accepted,F18,International,3.3,170.0,,149.0,4.0
University of Toronto,Computer Science Masters,Accepted,F20,International,3.9,,,,
University of Southern California,Computer Science Masters,Accepted,F20,International,3.81,169.0,,156.0,4.0
University of California,Computer Science Masters,Accepted,F15,American,3.8,170.0,,153.0,3.5
University of Calgary,Computer Science MSc Masters,Accepted,F17,International,3.66,,,,
North Carolina State University,Computer Science Masters,Accepted,F15,International,3.7,168.0,,156.0,4.0
University of Illinois Urbana-Champaign,Computer Science (M.S.) Masters,Accepted,F15,International,3.5,170.0,,160.0,
University of Dallas,Computer Science Masters,Accepted,F15,International,3.45,168.0,,153.0,3.0
Johns Hopkins University,Computer Science Masters,Accepted,F19,International,3.66,168.0,,167.0,5.0
Illinois Institute of Technology,Computer Science-Computer Graphics Masters,Accepted,F16,International,3.62,157.0,,154.0,3.0
University of Edinburgh,Computer Science Masters,Accepted,F19,International,3.5,,,,
Ohio University-Main Campus,Computer Science Masters,Accepted,F19,International,3.6,169.0,,155.0,3.5
Vanderbilt University,Computer Science Masters,Accepted,F19,American,3.3,163.0,,170.0,6.0
University of Florida,Computer Science Masters,Accepted,F19,International,3.52,164.0,,151.0,3.0
Northeaster University,Computer Science Masters,Accepted,S16,American,3.73,167.0,,170.0,4.5
Carnegie Mellon University,Computer Science (LTI) Masters,Accepted,F15,International,3.5,170.0,,160.0,4.0
North Carolina State University,Computer Science Masters,Accepted,F18,International,3.4,167.0,,154.0,4.0
University of Chicago,Computer Science Masters,Accepted,F19,American,3.48,165.0,,165.0,4.0
University of Texas at Austin,Computer Science Masters,Accepted,F16,International,3.99,170.0,,169.0,5.0
Albany State University,Computer Science Masters,Accepted,F15,International,3.0,157.0,,151.0,2.5
University of Southern California,Computer Science Masters,Accepted,F20,International,4.06,170.0,,155.0,3.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.73,168.0,,162.0,5.0
NC State University,Computer Science Masters,Accepted,F15,International,3.55,170.0,,156.0,3.5
University Of Illinois Urbana Champagne (UIUC),Computer Science Masters,Accepted,F17,International,3.83,165.0,,159.0,4.0
San Diego State University,Computer Science Masters,Accepted,F17,International,3.46,161.0,,160.0,4.0
Northwestern University,Computer Science Masters,Accepted,F16,International,3.9,170.0,,155.0,4.0
The University of British Columbia,Computer Science Masters,Accepted,F19,International,3.99,,,,
University of Toronto,Computer Science Masters,Accepted,F15,International,3.78,162.0,,169.0,4.5
Simon Fraser University,"Computer Science, Big Data Professional Masters Masters",Accepted,F19,International,3.34,,,,
Koc University,Computer Science Masters,Accepted,F19,International,3.14,,,,
Carnegie Mellon University,"Computer Science, Language Technologies Institute (LTI) Masters",Accepted,F16,International,3.78,164.0,,162.0,3.5
Carnegie Mellon University,Computer Science MLT-LTI Masters,Accepted,F19,International,9.28,168.0,,160.0,4.5
McGill University,Computer Science Masters,Accepted,F17,International,7.93,170.0,,155.0,4.0
Duke University,Computer Science Masters,Accepted,F17,International,3.3,168.0,,152.0,3.0
Brown University,Computer Science Masters,Accepted,F15,American,3.52,153.0,,161.0,4.0
