university,program,decision,term,citizenship,gpa_raw,gre_total
University of Michigan,Computer Science And Engineering (CSE) Masters,Accepted,F15,American,3.8,167.0
Rice University,Computer Science Masters,Accepted,F18,International,3.59,164.0
Arizona State University,Computer Science (MCS) Masters,Accepted,F16,International,3.28,167.0
University of Southern California,Computer Science (Scientists & Engineers) Masters,Accepted,S18,American,3.33,170.0
Virginia Polytechnic Institute and State University,Computer Science Masters,Accepted,F16,International,3.6,160.0
Carnegie Mellon University,Computer Science Masters,Accepted,F20,International,3.86,168.0
University of Waterloo,Computer Science Masters,Accepted,F17,International,3.57,167.0
Cornell University,Computer Science Masters,Accepted,F19,American,3.42,161.0
Utah State University,Computer Science Masters,Accepted,F15,International,3.5,163.0
"University of California, Irvine",Computer Science Masters,Accepted,F18,International,3.46,170.0
Columbia College,Computer Science Masters,Accepted,F15,International,3.8,170.0
University of Cincinnati,Computer Science Masters,Accepted,F17,International,3.52,162.0
George Mason University,Computer Science Masters,Accepted,F15,International,3.3,160.0
University of California,Computer Science Masters,Accepted,F19,International,3.73,170.0
University of Houston,Computer Science Masters,Accepted,F18,American,3.95,157.0
University of Waterloo,Computer Science Masters,Accepted,F15,International,3.43,165.0
Stony Brook University,Computer Science Masters,Accepted,F16,International,3.61,170.0
Stony Brook University,Computer Science Masters,Accepted,F17,International,3.5,170.0
Texas A&M University,Computer Science Masters,Accepted,F15,International,3.97,168.0
"University of California, Irvine",Computer Science Masters,Accepted,F17,American,3.53,161.0
Georgia Institute of Technology,Computer Science Masters,Accepted,F15,International,3.3,170.0
University of Southern California,Computer Science (Scientists And Engineers) Masters,Accepted,F18,International,3.5,150.0
Carnegie Mellon University,Computer Science Masters,Accepted,F20,International,3.83,169.0
Columbia College,Computer Science Masters,Accepted,F15,International,3.88,162.0
University of Wisconsin,Computer Science Masters,Accepted,F15,American,3.6,159.0
University of California,Computer Science Masters,Accepted,F15,American,3.21,164.0
North Carolina State University,Computer Science Masters,Accepted,F19,International,3.2,160.0
University of Wisconsin,Computer Science Masters,Accepted,F17,International,4.0,170.0
Princeton University,Computer Science Masters,Accepted,F18,International,3.72,163.0
Boston University,Computer Science Masters,Accepted,F19,International,3.77,170.0
Illinois State University,Computer Scienceer Masters,Accepted,F19,International,3.88,170.0
University of Alberta,Computer Science Masters,Accepted,F19,International,3.91,166.0
ีUniversity Of Southern California (USC) - Viterbi School Of Engineering,Computer Science Masters,Accepted,F17,American,3.87,159.0
Carnegie Mellon University,Computer Science Masters,Accepted,F19,International,3.88,170.0
University of Michigan,Computer Science And Engineering (CSE) Masters,Accepted,F16,American,3.3,169.0
Stanford University,Computer Science Masters,Accepted,F15,International,3.8,176.0
Columbia University,Computer Science Software Systems Masters,Accepted,F16,International,3.9,165.0
University of Illinois Urbana-Champaign,"Computer Science (Professional Master, MCS) Masters",Accepted,F18,International,3.85,169.0
San Jose State University (SJSU),Computer Science Masters,Accepted,F19,American,3.75,162.0
University of Southern California,Computer Science Masters,Accepted,F16,International,3.85,164.0
