tau,AIC,n,beta_gpa_over,p_gpa_over
3.2,4762.603795330406,3790,2.11991816577551,0.0013078728903228771
3.15,4763.123195750939,3790,2.2880302137072723,0.0019496069303091175
3.1,4763.936869032072,3790,2.4095113446137377,0.0032793344271016102
3.05,4764.010113869723,3790,2.6567300748809703,0.004124757008489625
2.95,4764.097524277205,3790,3.1802277809460784,0.0061408473538624294
2.9,4764.15824499283,3790,3.4919712807477783,0.007578244880212545
3.0,4764.230365336077,3790,2.8577800552548616,0.0053205451678470395
3.25,4764.233530263726,3790,1.8013700180862755,0.0026000112541731493
2.85,4765.406241854955,3790,3.498665409429725,0.011772337487503892
3.3,4765.8309953399985,3790,1.5038258694960356,0.005695460117910928
2.8,4766.675705877633,3790,3.4431282638565337,0.018036914448440727
2.75,4767.151942340855,3790,3.6072426687120545,0.022054583791494768
3.35,4767.2939022455275,3790,1.2781325188973318,0.012512977395349876
2.7,4767.557552772776,3790,3.798388244502474,0.026102591299501467
2.65,4767.9843270632555,3790,3.9975663315355434,0.030893664865926363
2.5,4768.409655348795,3790,5.293972260588991,0.03863152758499782
2.6,4768.440984282631,3790,4.1980326480915835,0.0368663500793903
2.55,4768.472911942505,3790,4.659227867039954,0.038175023642325764
3.4,4768.560299395187,3790,1.0738676592552605,0.02562698821529589
3.95,4769.209267838272,3790,6.552104314136968,0.04047819644383894
3.9,4769.880990988724,3790,2.8279041327566135,0.058550754090654904
3.85,4769.912211950217,3790,1.8424371467403133,0.05894457786741116
3.8,4769.988569956746,3790,1.3537200714111106,0.06116320677785471
3.45,4770.097125372359,3790,0.8630575570623297,0.06370714056597379
3.75,4771.080031731688,3790,0.9379092804777864,0.11897397059303545
3.5,4771.256691876366,3790,0.6781436839186872,0.13183463794199218
3.55,4771.9564152453595,3790,0.5684864723759425,0.21072629714306057
3.7,4772.293285642341,3790,0.5777861781726769,0.26837968498114073
3.6,4772.438858374122,3790,0.4757103259730542,0.29829748814395773
3.65,4772.465275813199,3790,0.49892937040057517,0.30452017066152604
