2025,Institution,Country / Territory,Rank2025,institution_clean
1,Massachusetts Institute of Technology (MIT),United States of America,1.0,massachusetts institute of technology mit
2,Stanford University,United States of America,2.0,stanford university
3,Carnegie Mellon University,United States of America,3.0,carnegie mellon university
4,National University of Singapore (NUS),Singapore,4.0,national university of singapore nus
5,University of Oxford,United Kingdom,5.0,university of oxford
6,Nanyang Technological University. Singapore (NTU),Singapore,6.0,nanyang technological university singapore ntu
7,Harvard University,United States of America,7.0,harvard university
8,University of California. Berkeley (UCB),United States of America,8.0,university of california berkeley ucb
9,University of Cambridge,United Kingdom,9.0,university of cambridge
10,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,10.0,eth zurich
11,Tsinghua University,China (Mainland),11.0,tsinghua university
12,University of Toronto,Canada,12.0,university of toronto
13,Princeton University,United States of America,13.0,princeton university
14,Peking University,China (Mainland),14.0,peking university
15,EPFL,Switzerland,15.0,epfl
16,University of California. Los Angeles (UCLA),United States of America,16.0,university of california ucla
17,New York University (NYU),United States of America,17.0,new york university nyu
18,Cornell University,United States of America,18.0,cornell university
19,University of Washington,United States of America,19.0,university of washington
20,Shanghai Jiao Tong University,China (Mainland),20.0,shanghai jiao tong university
21,The University of Hong Kong,Hong Kong SAR. China,21.0,the university of hong kong
22,Imperial College London,United Kingdom,22.0,imperial college london
23,The University of Edinburgh,United Kingdom,23.0,the university of edinburgh
=24,The Hong Kong University of Science and Technology,Hong Kong SAR. China,24.0,the hong kong university of science and technology
=24,UCL,United Kingdom,24.0,ucl
26,Yale University,United States of America,26.0,yale university
=27,Columbia University,United States of America,27.0,columbia university
=27,The Chinese University of Hong Kong (CUHK),Hong Kong SAR. China,27.0,the chinese university of hong kong cuhk
29,KAIST - Korea Advanced Institute of Science & Technology,Republic of Korea,29.0,kaist korea advanced institute of science technology
30,The University of Tokyo,Japan,30.0,the university of tokyo
=31,University of British Columbia,Canada,31.0,university of british columbia
=31,Zhejiang University,China (Mainland),31.0,zhejiang university
33,University of Waterloo,Canada,33.0,university of waterloo
34,University of Illinois at Urbana-Champaign,United States of America,34.0,university of illinois at urbanachampaign
35,Technical University of Munich,Germany,35.0,technical university of munich
36,The University of Sydney,Australia,36.0,the university of sydney
=37,The Australian National University,Australia,37.0,the australian national university
=37,University of California. San Diego (UCSD),United States of America,37.0,university of california san diego ucsd
39,Fudan University,China (Mainland),39.0,fudan university
40,Georgia Institute of Technology,United States of America,40.0,georgia institute of technology
=41,University of Michigan-Ann Arbor,United States of America,41.0,university of michiganann arbor
=41,University of Pennsylvania,United States of America,41.0,university of pennsylvania
=41,University of Texas at Austin,United States of America,41.0,university of texas at austin
44,Seoul National University,Republic of Korea,44.0,seoul national university
45,University of Amsterdam,Netherlands,45.0,university of amsterdam
=46,The University of Melbourne,Australia,46.0,the university of melbourne
=46,The University of New South Wales (UNSW Sydney),Australia,46.0,the university of new south wales unsw sydney
48,McGill University,Canada,48.0,mcgill university
49,University of Southern California,United States of America,49.0,university of southern california
