university,program,decision,term,citizenship,gpa_raw,gre_total,gre_q,gre_v,gre_aw
University of Massachusetts Amherst,Computer Science Masters,Rejected,F15,International,,,,,
Austin College,Computer Science Masters,Rejected,F15,International,3.86,165.0,,152.0,4.0
Stanford University,Computer Science Masters,Rejected,F19,International,,,,,
University of Windsor,Computer Science Masters,Rejected,S18,International,3.20,,,,
University of Georgia,Computer Science Masters,Rejected,F19,,,,,,
University of California (UCLA),Computer Science Masters,Rejected,F19,International,,,,,
University of California,Computer Science Masters,Rejected,F15,International,,,,,
Carnegie Mellon University,Computer Science (Robotics Institute - MS) Masters,Rejected,F17,International,3.98,,,,
Princeton University,Computer Science Masters,Rejected,F20,International,3.70,165.0,,156.0,3.5
University of California,Computer Science Masters,Rejected,F19,American,3.96,,,,
University of Pennsylvania,Computer Science Masters,Rejected,F15,International,3.77,167.0,,155.0,4.0
Austin College,Computer Science Masters,Rejected,F15,International,,,,,
Purdue University,Computer Science Masters,Rejected,F15,International,,,,,
Stanford University,Computer Science Masters,Rejected,F19,American,3.84,170.0,,157.0,4.0
The University of British Columbia,Computer Science Masters,Rejected,F17,International,,,,,
42 US,Computer Science Masters,Rejected,Fall 2026,International,3.22,,,,
Penn State University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
The University of Texas at Austin,Computer Science Masters,Rejected,Spring 2026,American,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science Masters,Rejected,Spring 2025,International,3.78,,,,
"University of California, Davis",Computer Science Masters,Rejected,Fall 2025,International,3.80,326.0,,158.0,4.5
Central Michigan University,Computer Science Masters,Rejected,Fall 2025,International,3.50,,,,
McGill University,Computer Science Masters,Rejected,Fall 2025,International,3.80,,,,
McGill University,Computer Science Masters,Rejected,Fall 2025,International,3.70,,,,
University of British Columbia,Computer Science Masters,Rejected,Fall 2025,International,3.50,,,,
University of British Columbia,Computer Science Masters,Rejected,Fall 2025,International,,,,,
The University of British Columbia,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Western Ontario,Computer Science Masters,Rejected,Fall 2025,International,3.81,,,,
University of Saskatchewan,Computer Science Masters,Rejected,Fall 2025,International,3.81,,,,
University of Toronto,Computer Science Masters,Rejected,Fall 2025,International,3.94,,,,
Columbia,Computer Science Masters,Rejected,Fall 2025,American,3.60,,,,
Georgia Institute of Technology,Computer Science Masters,Rejected,Fall 2025,International,7.80,330.0,,160.0,4.5
Purdue University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Toronto,Computer Science Masters,Rejected,Fall 2025,International,3.80,,,,
University of Toronto,Computer Science Masters,Rejected,Fall 2025,International,3.90,,,,
University of Toronto,Computer Science Masters,Rejected,Fall 2025,International,3.90,,,,
University of Toronto,Computer Science Masters,Rejected,Fall 2025,International,3.85,,,,
University of Toronto,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Toronto,Computer Science Masters,Rejected,Fall 2025,International,3.94,,,,
University of Waterloo,Computer Science Masters,Rejected,Fall 2025,International,3.70,,,,
University of Southern California,Computer Science Masters,Rejected,Fall 2025,American,3.50,,,,
University of California (UCLA),Computer Science Masters,Rejected,Fall 2025,International,3.80,326.0,,158.0,4.5
University of British Columbia,Computer Science Masters,Rejected,Fall 2025,International,3.94,,,,
Northwestern University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of California (UCLA),Computer Science Masters,Rejected,Fall 2025,American,3.88,,,,
University of California (UCLA),Computer Science Masters,Rejected,Fall 2025,International,3.72,,,,
University of California (UCLA),Computer Science Masters,Rejected,Fall 2025,International,,320.0,,,
University of British Columbia,Computer Science Masters,Rejected,Fall 2025,International,3.81,,,,
The University of Texas at Austin,Computer Science Masters,Rejected,Fall 2025,International,3.91,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.93,,,,
The University of Texas at Austin,Computer Science Masters,Rejected,Fall 2025,International,3.90,,,,
UT Austin,Computer Science Masters,Rejected,Fall 2025,American,,,,,
"University of California, San Diego (UCSD)",Computer Science Masters,Rejected,Fall 2025,International,3.91,,,,
University of Waterloo,Computer Science Masters,Rejected,Fall 2025,International,3.94,,,,
"University of Maryland, College Park",Computer Science Masters,Rejected,Fall 2025,International,,,,,
university of California San Deigo,Computer Science Masters,Rejected,Fall 2025,American,3.80,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science Masters,Rejected,Fall 2025,International,3.98,,,,
University of San Diego,Computer Science Masters,Rejected,Fall 2025,International,2.58,,,,
"University of California, San Diego",Computer Science Masters,Rejected,Fall 2025,American,3.60,,,,
"University of California, San Diego",Computer Science Masters,Rejected,Fall 2025,International,3.42,,,,
University of Toronto,Computer Science Masters,Rejected,Fall 2025,International,3.60,,,,
University of Toronto,Computer Science Masters,Rejected,Fall 2025,International,3.92,,,,
Johns Hopkins University,Computer Science Masters,Rejected,Fall 2025,International,3.97,,,,
University of California San Diego,Computer Science Masters,Rejected,Fall 2025,American,,,,,
University of Washington Bothell,Computer Science Masters,Rejected,Fall 2025,International,3.60,,,,
University of California San Diego,Computer Science Masters,Rejected,Fall 2025,International,3.60,,,,
University of Southern California,Computer Science Masters,Rejected,Fall 2025,International,3.60,,,,
University of California irvine,Computer Science Masters,Rejected,Fall 2025,International,3.60,,,,
New York University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
UC San Diego,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Georgia Institute of Technology,Computer Science Masters,Rejected,Fall 2025,International,3.60,330.0,,162.0,
University of Western Ontario,Computer Science Masters,Rejected,Fall 2025,International,9.99,,,,
Georgia Institute of Technology,Computer Science Masters,Rejected,Fall 2025,American,3.56,316.0,,163.0,99.99
Johns Hopkins University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Illinois,Computer Science Masters,Rejected,Fall 2025,International,3.80,320.0,,,
University of Wisconsin - Madison,Computer Science Masters,Rejected,Fall 2025,International,3.80,320.0,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.60,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science Masters,Rejected,Fall 2025,International,3.60,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science Masters,Rejected,Fall 2025,International,,,,,
Johns Hopkins University,Computer Science Masters,Rejected,Fall 2025,American,3.60,,,,
University of Michigan - Ann Arbor,Computer Science Masters,Rejected,Fall 2025,American,4.00,,,,
University of John Hopkins,Computer Science Masters,Rejected,Fall 2025,American,3.56,,,,
University of California (UCLA),Computer Science Masters,Rejected,Fall 2025,American,3.80,,,,
Johns Hopkins University,Computer Science Masters,Rejected,Fall 2025,International,3.67,,,,
John Hopkins University,Computer Science Masters,Rejected,Fall 2025,International,3.56,313.0,,,
Johns Hopkins University,Computer Science Masters,Rejected,Fall 2025,American,3.95,,,,
Yale University,Computer Science Masters,Rejected,Fall 2025,International,8.02,,,,
Georgia Institute of Technology,Computer Science Masters,Rejected,Fall 2025,International,3.90,168.0,,160.0,5.0
University of Southern California,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Northwestern University,Computer Science Masters,Rejected,Fall 2025,International,3.56,,,,
Cornell University,Computer Science Masters,Rejected,Fall 2025,International,3.56,,,,
Georgia Institute of Technology,Computer Science Masters,Rejected,Fall 2025,American,3.60,,,,
McGill University,Computer Science Masters,Rejected,Fall 2025,International,3.80,326.0,,158.0,4.5
McGill University,Computer Science Masters,Rejected,Fall 2025,International,3.30,,,,
Georgia Institute of Technology,Computer Science Masters,Rejected,Fall 2025,American,,,,,
University of Pennsylvania,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Duke University,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Michigan,Computer Science Masters,Rejected,Fall 2025,American,3.82,,,,
University of Pennsylvania,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Illinois Urbana-Champaign,Computer Science Masters,Rejected,Fall 2025,American,,,,,
College of William and Mary,Computer Science Masters,Rejected,Fall 2025,International,,,,,
"University of California, Irvine",Computer Science Masters,Rejected,Fall 2025,American,3.55,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.80,,,,
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,3.96,,,,
University of Maryland,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Cornell Tech,Computer Science Masters,Rejected,Fall 2025,International,,,,,
University of Massachusetts Amherst,Computer Science Masters,Rejected,Fall 2025,International,3.25,,,,
SUNY Stony Brook,Computer Science Masters,Rejected,Fall 2025,International,4.00,314.0,,,
Delft University of Technology,Computer Science Masters,Rejected,Fall 2025,International,,,,,
KTH Royal Institute of Technology,Computer Science Masters,Rejected,Fall 2025,International,,,,,
NYU Tandon School of Engineering,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Stony Brook University,Computer Science Masters,Rejected,Fall 2025,International,3.97,317.0,,152.0,4.0
Stony Brook University,Computer Science Masters,Rejected,Fall 2025,International,3.60,318.0,,155.0,4.0
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.95,,,,
University of Wisconsin - Madison,Computer Science Masters,Rejected,Fall 2025,International,3.57,,,,
"University of California, Irvine",Computer Science Masters,Rejected,Fall 2025,International,3.44,317.0,,154.0,99.99
ETH Zurich,Computer Science Masters,Rejected,Fall 2025,International,,,,,
Stanford University,Computer Science Masters,Rejected,Fall 2025,International,3.98,,,,
Brown University,Computer Science Masters,Rejected,Fall 2025,International,3.83,,,,
University of Oxford,Computer Science Masters,Rejected,Fall 2025,International,3.66,,,,
Cornell University,Computer Science Masters,Rejected,Fall 2025,International,3.93,,,,
"University of California, Berkeley",Computer Science Masters,Rejected,Fall 2025,International,3.93,,,,
Brown University,Computer Science Masters,Rejected,Fall 2025,International,3.91,,,,
