institution_clean,Rank2025
michigan state university,136.0
rice university,225.5
arizona state university,134.0
university of southern california,49.0
virginia polytechnic institute and state university,149.0
carnegie mellon university,3.0
university of waterloo,33.0
cornell university,18.0
university of california irvine,122.0
columbia university,27.0
university of cincinnati,625.5
george mason university,525.5
university of houston,425.5
stony brook university state university of new york,375.5
texas am university,146.0
georgia institute of technology,40.0
university of wisconsin,110.0
north carolina state university,225.5
princeton university,13.0
boston university,107.0
university of alberta,105.0
simon fraser university,225.5
university of massachusetts amherst,127.0
university of texas dallas,275.5
johns hopkins university,66.0
illinois institute of technology,325.5
vanderbilt university,325.5
university of florida,161.0
university of chicago,50.0
university of texas at austin,41.0
northwestern university,118.0
university of toronto,12.0
duke university,72.0
brown university,107.0
concordia university,275.5
mcgill university,48.0
eth zurich,10.0
stevens institute of technology,800.5
stanford university,2.0
university of california ucla,16.0
delft university of technology,56.0
university of virginia,225.5
ku leuven,51.0
university of colorado boulder,375.5
university of california santa cruz,525.5
pennsylvania state university,102.0
university of california santa barbara ucsb,225.5
university of pennsylvania,41.0
northeastern university,197.0
university of rochester,325.5
university of delaware,725.5
university of california berkeley ucb,8.0
purdue university,73.0
university of minnesota twin cities,225.5
george washington university,325.5
university of oxford,5.0
drexel university,675.5
syracuse university,525.5
university of new brunswick,675.5
yale university,26.0
university of manitoba,525.5
rensselaer polytechnic institute,525.5
university of central florida,325.5
texas tech university,625.5
emory university,425.5
university of utah,325.5
university of southampton,225.5
harvard university,7.0
york university,425.5
massachusetts institute of technology mit,1.0
new york university nyu,17.0
national chung cheng university,800.5
uppsala university,225.5
carleton university,275.5
university of massachusetts boston,800.5
oregon state university,800.5
worcester polytechnic institute,800.5
university of cambridge,9.0
university of california san diego ucsd,37.0
georgetown university,525.5
university of pittsburgh,275.5
university of british columbia,31.0
imperial college london,22.0
tufts university,675.5
university of iowa,800.5
aarhus university,119.0
rochester institute of technology rit,525.5
washington state university,375.5
university of kentucky,575.5
university at buffalo suny,375.5
indiana university bloomington,191.0
university of california davis,225.5
university of north carolina chapel hill,172.0
university of calgary,225.5
university of missouri columbia,575.5
university of oregon,675.5
florida state university,425.5
university of bristol,134.0
colorado state university,725.5
georgia state university,375.5
wayne state university,800.5
dartmouth college,425.5
iowa state university,375.5
temple university,475.5
university of maryland college park,74.0
university of north carolina at charlotte,725.5
the university of texas at arlington,575.5
university of south florida,525.5
washington university in st louis,375.5
missouri university of science and technology,800.5
university of connecticut,725.5
dalhousie university,475.5
university of nevada las vegas,800.5
university of gothenburg,425.5
university of ottawa,275.5
university of notre dame,325.5
case western reserve university,425.5
university of washington,19.0
university of victoria uvic,325.5
university of california riverside,475.5
mcmaster university,275.5
university of guelph,675.5
university of saskatchewan,625.5
